Model,Year Month Number,Year Month,Availability
14,24307,Aug 2025,0.9974462365591398
14,24309,Oct 2025,0.9689292110215054
14,24311,Dec 2025,0.7251680107526881
14,24312,Jan 2026,0.8020900537634409
14,24313,Feb 2026,0.6349330357142857
14,24314,Mar 2026,0.7352598561827957
16,24307,Aug 2025,0.8894041218637994
16,24308,Sep 2025,0.918888887962963
16,24309,Oct 2025,0.8922192352150538
16,24310,Nov 2025,0.8371944444444445
16,24311,Dec 2025,0.9182571693548387
16,24312,Jan 2026,0.9278091397849462
16,24313,Feb 2026,0.8214384920634921
16,24314,Mar 2026,0.5564740147849463
16,24315,Apr 2026,0.8395293212962963
16,24316,May 2026,0.8922379025537635
18,24307,Aug 2025,0.6647939072580645
18,24308,Sep 2025,0.8013749994444445
18,24309,Oct 2025,0.8521729389784946
18,24310,Nov 2025,0.8581583333333334
18,24311,Dec 2025,0.8641711465053763
18,24312,Jan 2026,0.7715
18,24313,Feb 2026,0.7609077380952382
18,24314,Mar 2026,0.8838082440860215
18,24315,Apr 2026,0.9023287033333333
18,24316,May 2026,0.9153136193548387
259D,24310,Nov 2025,0.9853055555555555
259D,24312,Jan 2026,0.9983198924731183
259D,24313,Feb 2026,0.9845238095238096
289D,24310,Nov 2025,0.9670138888888888
289D,24311,Dec 2025,0.9978718642473118
289D,24312,Jan 2026,0.7645967741935484
289D,24313,Feb 2026,0.0
289D,24314,Mar 2026,0.7775537634408602
307.5,24307,Aug 2025,0.9829749099462366
307.5,24308,Sep 2025,0.9883101847222223
307.5,24310,Nov 2025,0.99375
307.5,24314,Mar 2026,0.9959677419354839
307.5,24315,Apr 2026,0.9905092597222221
336,24307,Aug 2025,0.9348342298387097
336,24308,Sep 2025,0.9064004631944443
336,24309,Oct 2025,0.9692204307795699
336,24310,Nov 2025,0.987763888888889
336,24311,Dec 2025,0.9114135309139786
336,24312,Jan 2026,0.9277016129032258
336,24313,Feb 2026,0.9631845238095238
336,24314,Mar 2026,0.9709005369623656
336,24315,Apr 2026,0.8376620375
336,24316,May 2026,0.9730734758064516
345,24307,Aug 2025,0.9747535846774193
345,24308,Sep 2025,0.4
345,24309,Oct 2025,0.1478494623655914
345,24310,Nov 2025,0.9937222222222223
345,24311,Dec 2025,0.9813732076612903
345,24312,Jan 2026,0.7572782258064515
345,24313,Feb 2026,0.48329613095238094
345,24314,Mar 2026,0.932571684811828
345,24315,Apr 2026,0.9972800923611111
374,24307,Aug 2025,0.0
374,24308,Sep 2025,0.0
374,24309,Oct 2025,0.03225806451612903
374,24310,Nov 2025,0.3
374,24312,Jan 2026,0.9958333333333333
374,24313,Feb 2026,0.9676339285714286
374,24314,Mar 2026,0.958154122311828
374,24316,May 2026,0.9793906814516129
390,24307,Aug 2025,0.9517921142473118
390,24308,Sep 2025,0.9760416666666667
390,24309,Oct 2025,0.9846102150537633
390,24310,Nov 2025,0.9613194444444444
390,24311,Dec 2025,0.745183692204301
390,24312,Jan 2026,0.39139784946236555
390,24313,Feb 2026,0.964404761904762
390,24314,Mar 2026,0.9572804663978495
390,24315,Apr 2026,0.9666203722222223
390,24316,May 2026,0.9666442634408602
395,24307,Aug 2025,0.9598230282258065
395,24308,Sep 2025,0.9699884263888888
395,24309,Oct 2025,0.9272177412634408
395,24310,Nov 2025,0.9684097222222222
395,24311,Dec 2025,0.987130377016129
395,24312,Jan 2026,0.9833736559139785
395,24313,Feb 2026,0.9902604166666668
395,24314,Mar 2026,0.9915098561827956
395,24315,Apr 2026,0.9750694444444444
395,24316,May 2026,0.9604166680107526
434,24310,Nov 2025,0.9586319444444444
434,24313,Feb 2026,0.9805952380952382
434,24314,Mar 2026,0.03225806451612903
6015,24307,Aug 2025,0.875388292562724
6015,24308,Sep 2025,0.8888425925925927
6015,24309,Oct 2025,0.9291890672043011
6015,24310,Nov 2025,0.9246296296296297
6015,24311,Dec 2025,0.9357004180107528
6015,24312,Jan 2026,0.8497625448028674
6015,24313,Feb 2026,0.932470238095238
6015,24314,Mar 2026,0.9243055555555556
6015,24315,Apr 2026,0.9440586407407408
6015,24316,May 2026,0.6797640371863799
6020,24307,Aug 2025,0.8733758951612903
6020,24308,Sep 2025,0.8675694444444444
6020,24309,Oct 2025,0.853763439516129
6020,24310,Nov 2025,0.9291111111111111
6020,24311,Dec 2025,0.854614692204301
6020,24312,Jan 2026,0.7812836021505376
6020,24313,Feb 2026,0.7691220238095239
6020,24314,Mar 2026,0.5668458770161291
6020,24315,Apr 2026,0.9363888895833333
6020,24316,May 2026,0.858154123655914
6040,24307,Aug 2025,0.7490591404569893
6040,24308,Sep 2025,0.8610648131944444
6040,24309,Oct 2025,0.6889896962365591
6040,24310,Nov 2025,0.8962847222222223
6040,24311,Dec 2025,0.8120071666666666
6040,24312,Jan 2026,0.8113709677419356
6040,24313,Feb 2026,0.7634077380952381
6040,24314,Mar 2026,0.7099014341397849
6040,24315,Apr 2026,0.8575347229166667
6040,24316,May 2026,0.8458893387096774
745,24307,Aug 2025,0.9860327056451613
745,24308,Sep 2025,0.9743055555555555
745,24309,Oct 2025,0.9672491041666668
745,24310,Nov 2025,0.9173680555555556
745,24311,Dec 2025,0.9704375743727599
745,24312,Jan 2026,0.9772356630824373
745,24313,Feb 2026,0.9679861111111111
745,24314,Mar 2026,0.854502688172043
777,24307,Aug 2025,0.8424731180645162
777,24308,Sep 2025,0.8458185187222224
777,24309,Oct 2025,0.8658561826612904
777,24310,Nov 2025,0.8815019444444444
777,24311,Dec 2025,0.878975358655914
777,24312,Jan 2026,0.8816365591397849
777,24313,Feb 2026,0.8734760912499999
777,24314,Mar 2026,0.8492204302150538
777,24315,Apr 2026,0.8268041663333332
777,24316,May 2026,0.8246169353494625
777 WT,24307,Aug 2025,0.949604241935484
777 WT,24308,Sep 2025,0.9574305564814815
777 WT,24309,Oct 2025,0.8956167858422939
777 WT,24310,Nov 2025,0.8943148148148148
777 WT,24311,Dec 2025,0.9394041218637993
777 WT,24312,Jan 2026,0.8761633812724015
777 WT,24313,Feb 2026,0.875203373015873
777 WT,24314,Mar 2026,0.8932721034946236
777 WT,24315,Apr 2026,0.8607484564814815
777 WT,24316,May 2026,0.899753582437276
789,24307,Aug 2025,0.8366911906479908
789,24308,Sep 2025,0.8255129146198831
789,24309,Oct 2025,0.8438866485215054
789,24310,Nov 2025,0.8789888888888889
789,24311,Dec 2025,0.8613228054435483
789,24312,Jan 2026,0.8958922491263441
789,24313,Feb 2026,0.8679340277529761
789,24314,Mar 2026,0.866555779233871
789,24315,Apr 2026,0.8646863434027778
789,24316,May 2026,0.8349339156586022
825,24307,Aug 2025,0.9909274193548387
825,24308,Sep 2025,0.9858796305555556
825,24310,Nov 2025,0.9958333333333333
825,24311,Dec 2025,0.9996639784946236
825,24312,Jan 2026,0.9898521505376344
834,24307,Aug 2025,0.9615723938172043
834,24308,Sep 2025,0.9220891201388889
834,24309,Oct 2025,0.9873082809139785
834,24310,Nov 2025,0.9935208333333334
834,24311,Dec 2025,0.9484229388440861
834,24312,Jan 2026,0.914388440860215
844,24307,Aug 2025,0.32850582526881716
844,24308,Sep 2025,0.8664004624999999
844,24309,Oct 2025,0.7996079764784945
844,24310,Nov 2025,0.8986875
844,24311,Dec 2025,0.9348902331989247
844,24312,Jan 2026,0.8314852150537635
844,24313,Feb 2026,0.8857886904761905
844,24314,Mar 2026,0.8984879038978494
844,24315,Apr 2026,0.7603935180555556
844,24316,May 2026,0.3764000907258065
966,24307,Aug 2025,0.9581093198924732
966,24308,Sep 2025,0.7036111111111112
966,24309,Oct 2025,0.9595430107526881
966,24310,Nov 2025,0.9469861111111112
966,24311,Dec 2025,0.9680331545698925
966,24312,Jan 2026,0.4365994623655914
966,24313,Feb 2026,0.8843303571428571
966,24314,Mar 2026,0.8628584233870968
966,24315,Apr 2026,0.9018055555555555
980,24307,Aug 2025,0.7628897849462365
980,24308,Sep 2025,0.9709755291666666
980,24309,Oct 2025,0.9721870201612903
980,24310,Nov 2025,0.9269548611111111
980,24311,Dec 2025,0.8787684186081243
980,24312,Jan 2026,0.8472463037634409
980,24313,Feb 2026,0.8228552827380953
980,24314,Mar 2026,0.640188171893668
980,24315,Apr 2026,0.7334814819444445
988,24307,Aug 2025,0.9734543024193548
988,24308,Sep 2025,0.9302083319444444
988,24309,Oct 2025,0.9281362002688172
988,24310,Nov 2025,0.008333333333333333
988,24311,Dec 2025,0.5862231169354838
988,24312,Jan 2026,0.9328494623655913
988,24313,Feb 2026,0.7235962306547619
988,24314,Mar 2026,0.9010304677419355
988,24315,Apr 2026,0.7966435194444444
988,24316,May 2026,0.5512768817204301
992,24307,Aug 2025,0.680488351702509
992,24308,Sep 2025,0.8687037027777778
992,24309,Oct 2025,0.8804360810931899
992,24310,Nov 2025,0.9146018518518518
992,24311,Dec 2025,0.9299357822580645
992,24312,Jan 2026,0.8802479090501792
992,24313,Feb 2026,0.9197073412698413
992,24314,Mar 2026,0.8518667844982079
992,24315,Apr 2026,0.8925154319444445
992,24316,May 2026,0.8953703700716846
CS78B,24307,Aug 2025,0.9429211471774194
CS78B,24308,Sep 2025,0.8729166666666667
CS78B,24310,Nov 2025,0.9892222222222222
CS78B,24312,Jan 2026,0.9816532258064516
D10,24307,Aug 2025,0.8685185187051971
D10,24308,Sep 2025,0.8212905091435185
D10,24309,Oct 2025,0.7391782402553764
D10,24310,Nov 2025,0.872201388888889
D10,24311,Dec 2025,0.8910562274865591
D10,24312,Jan 2026,0.9012096774193549
D10,24313,Feb 2026,0.8091344246031746
D10,24314,Mar 2026,0.8723771657706094
D10,24315,Apr 2026,0.8403703706018518
D10,24316,May 2026,0.8835984174507169
D5,24308,Sep 2025,0.36678240833333337
D5,24309,Oct 2025,0.0
D5,24310,Nov 2025,0.3
D5,24314,Mar 2026,0.9855510752688172
D5,24315,Apr 2026,0.9760185180555556
D9,24307,Aug 2025,0.951648745967742
D9,24308,Sep 2025,0.9392956343253969
D9,24309,Oct 2025,0.947196620391705
D9,24310,Nov 2025,0.9620486111111111
D9,24311,Dec 2025,0.9442512320228494
D9,24312,Jan 2026,0.9462550403225806
D9,24313,Feb 2026,0.9425502232142856
D9,24314,Mar 2026,0.9200072804099462
D9,24315,Apr 2026,0.8735648146825395
D9,24316,May 2026,0.8680667558803763
M320,24307,Aug 2025,0.9997087809139784
M320,24311,Dec 2025,0.9751344086021505
TH414,24312,Jan 2026,0.9852150537634409
