relative_path,bytes,pages,text_chars,status,text_file
1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\8 Step Preventive Maintenance Process (Spanish).pdf,256753,6,13692,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__1. Strategic__8 Step Preventive Maintenance Process (Spanish).txt
1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\8 Step Preventive Maintenance Process.pdf,475748,7,13570,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__1. Strategic__8 Step Preventive Maintenance Process.txt
1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\Goals & Objectives for Preventive Maintenance.pdf,1941691,6,15495,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__1. Strategic__Goals & Objectives for Preventive Maintenance.txt
1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\Preventive Maintenance Strategy (Spanish).pdf,285491,17,50011,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__1. Strategic__Preventive Maintenance Strategy (Spanish).txt
1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\Preventive Maintenance Strategy.pdf,544768,17,44771,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__1. Strategic__Preventive Maintenance Strategy.txt
1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\D10 Roller Retainer ARM Coating.pdf,878406,8,9178,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__2. Tactical__D10 Roller Retainer ARM Coating.txt
1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Electrical System Preventive Maintenance.pdf,4699608,17,15959,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__2. Tactical__Electrical System Preventive Maintenance.txt
1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Expanded Mining Products In-Pit Workshop.pdf,423825,6,10251,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__2. Tactical__Expanded Mining Products In-Pit Workshop.txt
1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Gasoline Engine Powered Filter Cart.pdf,259075,4,4893,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__2. Tactical__Gasoline Engine Powered Filter Cart.txt
1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\HMS Mobile Elevated Workshop.pdf,563499,9,14311,ok,texts\1.0 Maintenance & Repair__1.01 Preventive Maintenance__2. Tactical__HMS Mobile Elevated Workshop.txt
