doc_id,relative_path,bytes,pages,text_chars,status,text_file
doc_0001,1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\8 Step Preventive Maintenance Process (Spanish).pdf,256753,6,13856,ok,texts\doc_0001.txt
doc_0002,1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\8 Step Preventive Maintenance Process.pdf,475748,7,13724,ok,texts\doc_0002.txt
doc_0003,1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\Goals & Objectives for Preventive Maintenance.pdf,1941691,6,15657,ok,texts\doc_0003.txt
doc_0004,1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\Preventive Maintenance Strategy (Spanish).pdf,285491,17,50170,ok,texts\doc_0004.txt
doc_0005,1.0 Maintenance & Repair\1.01 Preventive Maintenance\1. Strategic\Preventive Maintenance Strategy.pdf,544768,17,44920,ok,texts\doc_0005.txt
doc_0006,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\D10 Roller Retainer ARM Coating.pdf,878406,8,9325,ok,texts\doc_0006.txt
doc_0007,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Electrical System Preventive Maintenance.pdf,4699608,17,16116,ok,texts\doc_0007.txt
doc_0008,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Expanded Mining Products In-Pit Workshop.pdf,423825,6,10407,ok,texts\doc_0008.txt
doc_0009,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Gasoline Engine Powered Filter Cart.pdf,259075,4,5044,ok,texts\doc_0009.txt
doc_0010,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\HMS Mobile Elevated Workshop.pdf,563499,9,14455,ok,texts\doc_0010.txt
doc_0011,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Improved PM Operations with Specialized Bay.pdf,39218307,7,10362,ok,texts\doc_0011.txt
doc_0012,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Improving Availability through Dealer Customer PM Partnering.pdf,292800,4,7293,ok,texts\doc_0012.txt
doc_0013,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Inversion of the body pivot pins on mining trucks.pdf,1010289,5,6856,ok,texts\doc_0013.txt
doc_0014,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Pressurize OHT Air Induction System to Check for Leaks.pdf,942301,6,7533,ok,texts\doc_0014.txt
doc_0015,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Saving Hydraulic Oil during Inspect Torque Converter Sump Screen.pdf,151196,5,6829,ok,texts\doc_0015.txt
doc_0016,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Using BUILDER™ to Generate the Most Comprehensive PM Checklist.pdf,876762,6,7124,ok,texts\doc_0016.txt
doc_0017,1.0 Maintenance & Repair\1.01 Preventive Maintenance\2. Tactical\Using VIMStm Data for Pre PM Analysis.pdf,124662,4,7048,ok,texts\doc_0017.txt
doc_0018,1.0 Maintenance & Repair\1.01 Preventive Maintenance\3. Quick Win\C175 Engine Oil Change.pdf,85664,4,5453,ok,texts\doc_0018.txt
doc_0019,1.0 Maintenance & Repair\1.01 Preventive Maintenance\3. Quick Win\Cooling System Performance for Large Wheel Loaders 994.pdf,422676,8,9723,ok,texts\doc_0019.txt
doc_0020,1.0 Maintenance & Repair\1.01 Preventive Maintenance\3. Quick Win\Cooling System Thermal Inspection.pdf,363949,7,10924,ok,texts\doc_0020.txt
doc_0021,1.0 Maintenance & Repair\1.01 Preventive Maintenance\3. Quick Win\OHT Transmission and Hydraulic Filter Replacement Tool.pdf,1038262,4,5685,ok,texts\doc_0021.txt
doc_0022,1.0 Maintenance & Repair\1.01 Preventive Maintenance\3. Quick Win\Sensor Fault Diagnosis Simulator Device.pdf,1754309,10,11673,ok,texts\doc_0022.txt
doc_0023,1.0 Maintenance & Repair\1.01 Preventive Maintenance\3. Quick Win\Universal base for track type tractors final drives.pdf,1492391,11,7967,ok,texts\doc_0023.txt
doc_0024,1.0 Maintenance & Repair\1.01 Preventive Maintenance\3. Quick Win\Used Oil Drain Fixture For OHT Final Drives.pdf,2006470,6,5291,ok,texts\doc_0024.txt
doc_0025,1.0 Maintenance & Repair\1.01 Preventive Maintenance\3. Quick Win\Wheel Loader Lubricated Pin Inspection.pdf,170653,5,7876,ok,texts\doc_0025.txt
doc_0026,1.0 Maintenance & Repair\1.02 Condition Monitoring\1. Strategic\Condition Monitoring Strategy.pdf,1791651,13,33661,ok,texts\doc_0026.txt
doc_0027,1.0 Maintenance & Repair\1.02 Condition Monitoring\1. Strategic\Magnetic Plug Inspection Trays and Inspection Process.pdf,154242,3,6329,ok,texts\doc_0027.txt
doc_0028,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Communicating VIMS Events Using Critical Event Advice.pdf,667718,8,11499,ok,texts\doc_0028.txt
doc_0029,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Condition Monitoring - Field Inspection.pdf,4942025,8,12557,ok,texts\doc_0029.txt
doc_0030,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Electronic Data Usage for Equipment Management on Construction Projects.pdf,114431,4,7773,ok,texts\doc_0030.txt
doc_0031,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Fuel Consumption Large Track-Type Tractor Production Study.pdf,4101314,6,13196,ok,texts\doc_0031.txt
doc_0032,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Maintenance Planning for OHT Bodies.pdf,4537674,7,10196,ok,texts\doc_0032.txt
doc_0033,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Managing Fuel Consumption Reduces Cost.pdf,109178,5,8293,ok,texts\doc_0033.txt
doc_0034,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Use of a Hot Sheet for Component Management.pdf,100937,7,14228,ok,texts\doc_0034.txt
doc_0035,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Using VIMS TKPH Feature to Control Heat-Related Tire Failures.pdf,2621718,6,10255,ok,texts\doc_0035.txt
doc_0036,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Using VIMS to Manage Overcooled Engines.pdf,119121,7,11956,ok,texts\doc_0036.txt
doc_0037,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Using VIMS® to Determine Air Filter Replacement Intervals.pdf,76093,5,10590,ok,texts\doc_0037.txt
doc_0038,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Utilization of Existing Onboard Electronics.pdf,306001,9,21808,ok,texts\doc_0038.txt
doc_0039,1.0 Maintenance & Repair\1.02 Condition Monitoring\2. Tactical\Utilizing VIMS Data for Effective Planned Maintenance.pdf,1334520,5,6614,ok,texts\doc_0039.txt
doc_0040,1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Applying Heat Tabs on 3400 3500 C-Series Engine Cylinder Heads.pdf,537233,5,6163,ok,texts\doc_0040.txt
doc_0041,1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Fluid Analysis Sampling Cart.pdf,211736,8,10361,ok,texts\doc_0041.txt
doc_0042,1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Magnetic Plug for Motor Grader Tandem Case.pdf,120162,5,8117,ok,texts\doc_0042.txt
doc_0043,1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Oil Filter Cutting Bench.pdf,286617,5,8481,ok,texts\doc_0043.txt
doc_0044,1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Oil Filter Cutting Tool (Field Operations).pdf,571236,4,5322,ok,texts\doc_0044.txt
doc_0045,1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Prediction of Failure of Starting Motors on D11R Machines.pdf,221382,9,10275,ok,texts\doc_0045.txt
doc_0046,1.0 Maintenance & Repair\1.02 Condition Monitoring\3. Quick Win\Sample Tubing Bag.pdf,5272856,3,3341,ok,texts\doc_0046.txt
doc_0047,1.0 Maintenance & Repair\1.03 Planning & Scheduling\1. Strategic\Planning & Scheduling.pdf,854499,34,64448,ok,texts\doc_0047.txt
doc_0048,1.0 Maintenance & Repair\1.03 Planning & Scheduling\1. Strategic\Strategic Plan to Recover the Performance of a Mining Equipment Fleet.pdf,5276301,36,65751,ok,texts\doc_0048.txt
doc_0049,1.0 Maintenance & Repair\1.03 Planning & Scheduling\1. Strategic\Unavailability Distribution.pdf,215223,16,31331,ok,texts\doc_0049.txt
doc_0050,1.0 Maintenance & Repair\1.03 Planning & Scheduling\2. Tactical\3-Stage Wash Bay For Cold Climate.pdf,70641,6,10719,ok,texts\doc_0050.txt
doc_0051,1.0 Maintenance & Repair\1.03 Planning & Scheduling\2. Tactical\Improved Operations Using Specialized Inspection Facility.pdf,238281,6,7608,ok,texts\doc_0051.txt
